title,tag,info,comments,content
洗铅华,豆瓣图书标签: 言情,七月荔 / 江苏凤凰文艺出版社 / 2021-5 / 48.00元,(697人评价),"如果穿越成为虐文里的女配该怎么办？
一个怀揣梦想即将步入社会的女大学生，一觉醒来发现自己穿书了，还落了一个人人喊打的恶毒女配角色。
奸臣父亲、纨绔兄长，原女..."
一座城，在等你,豆瓣图书标签: 言情,玖月晞 / 百花洲文艺出版社 / 2017-12 / 49.80元,(2066人评价),"如果你还想爱，我就陪你。
“许沁。”他语气郑重，眼神也是，在做一个重大的决定。
“嗯？”她提了一大口气。
“还喜欢我吗？”他发问，直接而坦荡。
许沁一怔，心..."
宫墙柳,豆瓣图书标签: 言情,梦娃 / 江苏凤凰文艺出版社 / 2020-5-1 / 45元,(5380人评价),★为什么后宫中嫔妃们一定要争宠？2019年度爆火红文，25万收藏，23万赞同，红遍知乎、B站的虐心古言！无数读者流泪推荐，这是一本你绝没有看过的‘宫斗’小说...
长安小饭馆,豆瓣图书标签: 言情,樱桃糕 / 青岛出版社 / 2021-4-30 / 69.8,(348人评价),"京兆少尹林晏把目光放在那个雪肤杏眼的老板娘的身上。
一个高门仕女沦落到当垆卖酒的境地，实在可怜可叹……
沈韶光：我有美酒美食相伴，还能看过路的英俊小郎君，生..."
云胡不喜,豆瓣图书标签: 言情,尼卡 / 现代出版社 / 2022-3-1 / 79,(480人评价),"家族博弈，时局动荡，误会迭起。
边塞烽火，遍地狼烟， 也曾琴瑟和鸣，也曾舍命奔赴。
当缠绵抵不过现实，当前路云遮雾掩，
他们如何抵挡命运的惊涛骇浪？
执子之..."
复贵盈门,豆瓣图书标签: 言情,云霓 / 重庆出版社 / 2013-8-1 / 56.80元,(214人评价),"琳怡从来没有想过，自己的洞房花烛夜，竟然是自己生命中的最后一夜。那一场熊熊大火埋葬了她的命，还有她的情。
或许是天可见怜，大火后的她猛然发现自己居然重回了十..."
针尖蜜,豆瓣图书标签: 言情,辛夷坞 / 百花洲文艺出版社 / 2021-12 / 69.80元,(556人评价),"陈樨遇上卫嘉的第一眼，她看到了蓝天、白云、青草、野花、微风和马背上小白杨一般的少年人。
而事后据卫嘉回忆，他只能想起烈日、暴晒、马屎、草料费、喝醉酒闹事的同..."
长相思,豆瓣图书标签: 言情,桐华 / 湖南文艺出版社 / 2013-2 / 35.00元,(15311人评价),"生命是一场又一场的相遇和别离，是一次又一次的遗忘和开始，可总有些事，一旦发生，就留下印迹；总有个人，一旦来过，就无法忘记。
如果一切都是命中注定，在小夭和涂..."
山河枕（全三册）,豆瓣图书标签: 言情,墨书白 / 天地出版社 / 2020-8 / 108.00,(786人评价),"上辈子，楚瑜为了顾楚生，逃了御赐的婚，走了千里的路，却仍落了个病死他乡的下场。重生到十五岁，楚瑜正在逃婚的路上，她毅然回头，嫁进了卫家大门。
她知道卫家会几..."
天才基本法,豆瓣图书标签: 言情,长洱 / 江苏凤凰文艺出版社 / 2019-7 / 78.00元,(11801人评价),"二十二岁的林朝夕在父亲确诊阿尔茨海默病这天，得知自己暗恋多年的校园男神裴之即将出国深造的消息——对方考取的学校，恰是父亲当年为她放弃的那所。
同样自幼与奥数..."
星汉灿烂，幸甚至哉,豆瓣图书标签: 言情,关心则乱 / 江苏凤凰文艺出版社 / 2022-3 / 52.00元,(272人评价),"一个女孩子的成长。
许多年后，她回望人生，觉得这辈子她投的胎实在比上辈子强多了，那究竟是什么缘故让她这样一个认真生活、态度勤恳的人走上了这样一条搞笑的道路呢..."
炽道,豆瓣图书标签: 言情,Twentine / 江苏凤凰文艺出版社 / 2018-6 / 59.80元,(2608人评价),"“一个好的运动员，他的能量必然是向上的。他一定积极，一定乐观，一定坚韧不屈。就算身处低谷，他也带着力量。你看着他，就像看着太阳。”
她心里的他，始终代表着阳..."
那个不为人知的故事,豆瓣图书标签: 言情,twentine / 江苏文艺出版社 / 2015-12 / 32.00元,(22082人评价),"我曾拥有一段时光
在那段时光里
我能用我贫瘠的词语描绘出每一分每一秒
我能用我枯竭的心灵记住所有的细节
但这段时光很短暂
就像一个故事刚刚有了开篇就戛然而止..."
